source,target,weight
compounds,Oxides,1
compounds,charge transfer,1
compounds,Tetraphenyl,1
compounds,imidazole,1
compounds,MEP,1
compounds,DMF,1
compounds,Schiff Bases,1
compounds,air,2
compounds,Analysis,1
compounds,calcium amount,1
compounds,"Spectroscopy, Mossbauer",1
compounds,magnetite,1
compounds,Isoxazoles,1
compounds,Aldehydes,1
compounds,hydroxylamine hydrochloride,1
compounds,5b,1
compounds,chloroquine,1
compounds,DMSO,1
compounds,antiviral brincidofovir,1
compounds,imidazole ring,1
compounds,M,1
compounds,ferric ion,1
compounds,Scanning electron microscopy,1
compounds,cells,1
nitrogen,Materials,1
nitrogen,Biguanides,1
nitrogen,compounds,1
nitrogen,metformin,1
nitrogen,chlorhexidine,1
nitrogen,gold,1
nitrogen,Metals,1
nitrogen,X-Ray Photoelectron Spectroscopy,1
nitrogen,copper,1
nitrogen,Microscopy,1
nitrogen,crystal lattice,1
nitrogen,indole,1
nitrogen,aryl bromides,1
nitrogen,cupric cation,1
nitrogen,KBr,1
metformin,Materials,1
metformin,Biguanides,1
metformin,compounds,1
metformin,nitrogen,1
metformin,chlorhexidine,1
metformin,gold,1
metformin,Metals,1
chlorhexidine,Materials,1
chlorhexidine,Biguanides,1
chlorhexidine,compounds,1
chlorhexidine,nitrogen,1
chlorhexidine,metformin,1
chlorhexidine,gold,1
chlorhexidine,Metals,1
gold,Materials,1
gold,Biguanides,1
gold,compounds,1
gold,nitrogen,1
gold,metformin,1
gold,chlorhexidine,1
gold,Metals,1
Metals,Materials,3
Metals,Biguanides,1
Metals,compounds,1
Metals,nitrogen,1
Metals,metformin,1
Metals,chlorhexidine,1
Metals,gold,1
Metals,Laboratory Procedures,1
Metals,manganese oxide,1
Metals,heavy metals,1
Metals,Pb2+,1
Metals,manganese,1
Metals,natural material,1
Spectrum Analysis,compounds,1
Spectrum Analysis,chlorophyll a,1
Spectrum Analysis,proteins,1
Spectrum Analysis,polysaccharides,1
Spectrum Analysis,"Spectroscopy, Fourier Transform Infrared",1
Spectrum Analysis,analysis,2
Spectrum Analysis,X-Ray Diffraction,1
Spectrum Analysis,scanning electron microscopy,1
Spectrum Analysis,"Crystallography, X-Ray",1
Spectrum Analysis,MIC,1
Spectrum Analysis,MBC,1
Spectrum Analysis,water,2
Spectrum Analysis,Biopolymers,1
Spectrum Analysis,Alkynes,1
Spectrum Analysis,alpha-chitin,1
Spectrum Analysis,Chemical method,1
Spectrum Analysis,soil,1
Spectrum Analysis,Microscopy,1
Spectrum Analysis,alpha-amino acid derivative,1
Spectrum Analysis,perfluorocarbons,1
Spectrum Analysis,Singlet oxygen lifetime,1
Spectrum Analysis,perfluorodecalin,1
chlorophyll a,Spectrum Analysis,1
chlorophyll a,proteins,1
chlorophyll a,polysaccharides,1
proteins,Spectrum Analysis,1
proteins,chlorophyll a,1
proteins,polysaccharides,1
proteins,nucleic acid analysis,1
polysaccharides,Materials,1
polysaccharides,Spectrum Analysis,1
polysaccharides,chlorophyll a,1
polysaccharides,proteins,1
polysaccharides,alginate,1
polysaccharides,Freeze Drying,1
polysaccharides,"Spectroscopy, Fourier Transform Infrared",1
polysaccharides,X-Ray Diffraction,1
polysaccharides,scanning electron microscopy,1
polysaccharides,Biopolymers,1
polysaccharides,gelatin,1
polysaccharides,samples,1
polysaccharides,Crystallography,1
polysaccharides,TEM,1
polysaccharides,titania,1
polysaccharides,carboxymethylcellulose,1
polysaccharides,Thermogravimetry,1
polysaccharides,transmission electron microscopy,1
polysaccharides,anatase,1
polysaccharides,rutile,1
alginate,Materials,2
alginate,polysaccharides,1
alginate,bentonite,1
alginate,PS,1
alginate,cadmium,1
alginate,Solutions,1
alginate,Freeze Drying,2
alginate,Ions,1
alginate,"Spectroscopy, Fourier Transform Infrared",1
alginate,X-Ray Diffraction,2
alginate,scanning electron microscopy,1
alginate,water,1
alginate,Biopolymers,1
alginate,gelatin,1
alginate,samples,1
alginate,Crystallography,1
alginate,TEM,1
alginate,Lignin,1
alginate,Oxides,1
alginate,titania,1
alginate,carboxymethylcellulose,1
alginate,Thermogravimetry,1
alginate,transmission electron microscopy,1
alginate,anatase,1
alginate,rutile,1
alginate,size exclusion chromatography,1
alginate,aromatic compounds,1
bentonite,Materials,1
bentonite,alginate,1
bentonite,PS,1
bentonite,cadmium,1
bentonite,Solutions,1
bentonite,Freeze Drying,1
bentonite,Ions,1
PS,Materials,1
PS,alginate,1
PS,bentonite,1
PS,cadmium,1
PS,Solutions,1
PS,Freeze Drying,1
PS,Ions,1
cadmium,Materials,1
cadmium,alginate,1
cadmium,bentonite,1
cadmium,PS,1
cadmium,Solutions,1
cadmium,Freeze Drying,1
cadmium,Ions,1
Solutions,phosphorus,1
Solutions,Materials,4
Solutions,compounds,1
Solutions,alginate,1
Solutions,bentonite,1
Solutions,PS,1
Solutions,cadmium,1
Solutions,Freeze Drying,1
Solutions,Ions,2
Solutions,cellulose,1
Solutions,"Spectroscopy, Fourier Transform Infrared",1
Solutions,analysis,1
Solutions,studies,1
Solutions,X-Ray Diffraction,2
Solutions,Anions,1
Solutions,hydroxyl,1
Solutions,amine,1
Solutions,sulfur,1
Solutions,carboxyl functional,1
Solutions,crystal violet,1
Solutions,Congo red,1
Solutions,CR,1
Solutions,waste product,1
Solutions,hydrate,1
Solutions,chemical extraction,1
Solutions,Microscopic observations,1
Solutions,methylene blue,2
Solutions,clay,1
Solutions,Biopolymers,1
Solutions,Alkynes,1
Solutions,reactions,1
Solutions,Alkenes,1
Solutions,NaCl,1
Solutions,halogen bonding,1
Solutions,chloride ions,1
Solutions,Electrons,1
Solutions,Molecule,2
Solutions,europium,1
Solutions,samarium,1
Solutions,Sm,1
Solutions,neodymium,1
Solutions,Inductively-Coupled Plasma Mass Spectrometry,1
Solutions,TEM,1
Solutions,EPS,1
Solutions,enrichment,1
Solutions,substituted,1
Solutions,intramolecular charge transfer,1
Solutions,MEP,1
Solutions,electrolyte,1
Solutions,Schiff Bases,1
Solutions,Boranil dye,1
Solutions,1H,1
Solutions,THF,1
Solutions,chloroquine,1
Solutions,DMSO,1
Solutions,antiviral brincidofovir,1
Solutions,imidazole ring,1
Solutions,chemical elements,1
Solutions,hydronium ion,1
Solutions,H3O+,1
Solutions,hydrogen atom and ion,1
Solutions,hydroxide ion,1
Solutions,atoms,1
Solutions,labile,1
Freeze Drying,Materials,2
Freeze Drying,polysaccharides,1
Freeze Drying,alginate,2
Freeze Drying,bentonite,1
Freeze Drying,PS,1
Freeze Drying,cadmium,1
Freeze Drying,Solutions,1
Freeze Drying,Ions,1
Freeze Drying,"Spectroscopy, Fourier Transform Infrared",1
Freeze Drying,X-Ray Diffraction,1
Freeze Drying,scanning electron microscopy,1
Freeze Drying,Biopolymers,1
Freeze Drying,gelatin,1
Freeze Drying,samples,1
Freeze Drying,Crystallography,1
Freeze Drying,TEM,1
Freeze Drying,titania,1
Freeze Drying,carboxymethylcellulose,1
Freeze Drying,Thermogravimetry,1
Freeze Drying,transmission electron microscopy,1
Freeze Drying,anatase,1
Freeze Drying,rutile,1
Ions,phosphorus,1
Ions,Materials,2
Ions,alginate,1
Ions,bentonite,1
Ions,PS,1
Ions,cadmium,1
Ions,Solutions,2
Ions,Freeze Drying,1
Ions,Pb2+,1
Ions,Carbon,1
Ions,water,1
Ions,crystallinity,1
Ions,X-Ray Photoelectron Spectroscopy,1
Ions,Molecule,1
Ions,perovskite,1
Ions,Crystallography,1
Ions,photoluminescence technique,1
Ions,cupric cation,1
Ions,chemical elements,1
Ions,hydronium ion,1
Ions,H3O+,1
Ions,hydrogen atom and ion,1
Ions,hydroxide ion,1
Ions,ethylenediamine,1
cellulose,phosphorus,1
cellulose,Materials,1
cellulose,Solutions,1
cellulose,poly(butylene adipate),1
cellulose,PBA,1
cellulose,poly(ethylene adipate),1
cellulose,Polyesters,1
cellulose,hydroxyl groups,1
cellulose,isocyanate,1
cellulose,"Spectroscopy, Fourier Transform Infrared",1
cellulose,analysis,1
cellulose,Anions,1
cellulose,Phosphonates,1
cellulose,Biofuels,1
cellulose,waste product,1
cellulose,hydrate,1
cellulose,chemical extraction,1
cellulose,Microscopic observations,1
cellulose,methylene blue,1
cellulose,water,1
cellulose,fossil,1
cellulose,pretreatment,1
cellulose,Chemical fractionation,2
cellulose,crystallinity,1
cellulose,advantages/disadvantages,1
cellulose,metal oxide,1
cellulose,wood,1
cellulose,Lignin,1
cellulose,hemicellulose,1
cellulose,aromatic,1
cellulose,furan compounds,1
cellulose,5-hydroxymethylfurfural,1
cellulose,vanillin,1
cellulose,syringaldehyde,1
cellulose,phosphoryl chloride,1
cellulose,hexachlorocyclotriphosphazene,1
cellulose,modified cellulose,1
cellulose,carboxymethylcellulose analogues,1
poly(butylene adipate),cellulose,1
poly(butylene adipate),PBA,1
poly(butylene adipate),poly(ethylene adipate),1
poly(butylene adipate),Polyesters,1
poly(butylene adipate),hydroxyl groups,1
poly(butylene adipate),isocyanate,1
poly(butylene adipate),"Spectroscopy, Fourier Transform Infrared",1
poly(butylene adipate),analysis,1
PBA,cellulose,1
PBA,poly(butylene adipate),1
PBA,poly(ethylene adipate),1
PBA,Polyesters,1
PBA,hydroxyl groups,1
PBA,isocyanate,1
PBA,"Spectroscopy, Fourier Transform Infrared",1
PBA,analysis,1
poly(ethylene adipate),cellulose,1
poly(ethylene adipate),poly(butylene adipate),1
poly(ethylene adipate),PBA,1
poly(ethylene adipate),Polyesters,1
poly(ethylene adipate),hydroxyl groups,1
poly(ethylene adipate),isocyanate,1
poly(ethylene adipate),"Spectroscopy, Fourier Transform Infrared",1
poly(ethylene adipate),analysis,1
Polyesters,cellulose,1
Polyesters,poly(butylene adipate),1
Polyesters,PBA,1
Polyesters,poly(ethylene adipate),1
Polyesters,hydroxyl groups,1
Polyesters,isocyanate,1
Polyesters,"Spectroscopy, Fourier Transform Infrared",1
Polyesters,analysis,1
hydroxyl groups,cellulose,1
hydroxyl groups,poly(butylene adipate),1
hydroxyl groups,PBA,1
hydroxyl groups,poly(ethylene adipate),1
hydroxyl groups,Polyesters,1
hydroxyl groups,isocyanate,1
hydroxyl groups,"Spectroscopy, Fourier Transform Infrared",1
hydroxyl groups,analysis,1
isocyanate,cellulose,1
isocyanate,poly(butylene adipate),1
isocyanate,PBA,1
isocyanate,poly(ethylene adipate),1
isocyanate,Polyesters,1
isocyanate,hydroxyl groups,1
isocyanate,"Spectroscopy, Fourier Transform Infrared",1
isocyanate,analysis,1
"Spectroscopy, Fourier Transform Infrared",Materials,1
"Spectroscopy, Fourier Transform Infrared",compounds,1
"Spectroscopy, Fourier Transform Infrared",Spectrum Analysis,1
"Spectroscopy, Fourier Transform Infrared",polysaccharides,1
"Spectroscopy, Fourier Transform Infrared",alginate,1
"Spectroscopy, Fourier Transform Infrared",Solutions,1
"Spectroscopy, Fourier Transform Infrared",Freeze Drying,1
"Spectroscopy, Fourier Transform Infrared",cellulose,1
"Spectroscopy, Fourier Transform Infrared",poly(butylene adipate),1
"Spectroscopy, Fourier Transform Infrared",PBA,1
"Spectroscopy, Fourier Transform Infrared",poly(ethylene adipate),1
"Spectroscopy, Fourier Transform Infrared",Polyesters,1
"Spectroscopy, Fourier Transform Infrared",hydroxyl groups,1
"Spectroscopy, Fourier Transform Infrared",isocyanate,1
"Spectroscopy, Fourier Transform Infrared",analysis,2
"Spectroscopy, Fourier Transform Infrared",X-Ray Diffraction,4
"Spectroscopy, Fourier Transform Infrared",Mass Spectrometry,1
"Spectroscopy, Fourier Transform Infrared",bio-oil,1
"Spectroscopy, Fourier Transform Infrared","Chemistry Techniques, Analytical",1
"Spectroscopy, Fourier Transform Infrared",gas chromatography-mass spectrometry,1
"Spectroscopy, Fourier Transform Infrared",scanning electron microscopy,4
"Spectroscopy, Fourier Transform Infrared",Biofuels,1
"Spectroscopy, Fourier Transform Infrared",Carbon,1
"Spectroscopy, Fourier Transform Infrared",activated carbon,1
"Spectroscopy, Fourier Transform Infrared",water,1
"Spectroscopy, Fourier Transform Infrared",Biopolymers,2
"Spectroscopy, Fourier Transform Infrared",crystallinity,1
"Spectroscopy, Fourier Transform Infrared",gelatin,1
"Spectroscopy, Fourier Transform Infrared",fatty acids,1
"Spectroscopy, Fourier Transform Infrared",Alkynes,1
"Spectroscopy, Fourier Transform Infrared",X-Ray Photoelectron Spectroscopy,1
"Spectroscopy, Fourier Transform Infrared",samples,3
"Spectroscopy, Fourier Transform Infrared",iron,1
"Spectroscopy, Fourier Transform Infrared",alpha-chitin,1
"Spectroscopy, Fourier Transform Infrared",Crystallography,1
"Spectroscopy, Fourier Transform Infrared",TEM,1
"Spectroscopy, Fourier Transform Infrared",Oils,1
"Spectroscopy, Fourier Transform Infrared",Moroccan,1
"Spectroscopy, Fourier Transform Infrared",peroxide value,1
"Spectroscopy, Fourier Transform Infrared",spectrophotometric indices,1
"Spectroscopy, Fourier Transform Infrared",sterols,1
"Spectroscopy, Fourier Transform Infrared",tocopherol,1
"Spectroscopy, Fourier Transform Infrared",PCA,1
"Spectroscopy, Fourier Transform Infrared",chemical profiling,1
"Spectroscopy, Fourier Transform Infrared",gamma-tocopherol,1
"Spectroscopy, Fourier Transform Infrared",delta-tocopherol,1
"Spectroscopy, Fourier Transform Infrared",22-dien-3 beta-ol,1
"Spectroscopy, Fourier Transform Infrared",stearic acid,1
"Spectroscopy, Fourier Transform Infrared",linoleic acid,1
"Spectroscopy, Fourier Transform Infrared",titania,1
"Spectroscopy, Fourier Transform Infrared",carboxymethylcellulose,1
"Spectroscopy, Fourier Transform Infrared",Thermogravimetry,2
"Spectroscopy, Fourier Transform Infrared",transmission electron microscopy,1
"Spectroscopy, Fourier Transform Infrared",anatase,1
"Spectroscopy, Fourier Transform Infrared",rutile,1
"Spectroscopy, Fourier Transform Infrared",Schiff Bases,2
"Spectroscopy, Fourier Transform Infrared",Boranil dye,1
"Spectroscopy, Fourier Transform Infrared",1H,1
"Spectroscopy, Fourier Transform Infrared",THF,1
"Spectroscopy, Fourier Transform Infrared",Fe3O4,1
"Spectroscopy, Fourier Transform Infrared",magnetite,2
"Spectroscopy, Fourier Transform Infrared",sonochemical procedure,1
"Spectroscopy, Fourier Transform Infrared",4-nitrophenol,1
"Spectroscopy, Fourier Transform Infrared",M,1
"Spectroscopy, Fourier Transform Infrared",ferric ion,1
"Spectroscopy, Fourier Transform Infrared",Scanning electron microscopy,1
"Spectroscopy, Fourier Transform Infrared",cells,1
analysis,phosphorus,1
analysis,Materials,2
analysis,compounds,3
analysis,Spectrum Analysis,2
analysis,Solutions,1
analysis,cellulose,1
analysis,poly(butylene adipate),1
analysis,PBA,1
analysis,poly(ethylene adipate),1
analysis,Polyesters,1
analysis,hydroxyl groups,1
analysis,isocyanate,1
analysis,"Spectroscopy, Fourier Transform Infrared",2
analysis,studies,1
analysis,X-Ray Diffraction,2
analysis,Anions,1
analysis,hydroxyl,1
analysis,amine,1
analysis,sulfur,1
analysis,carboxyl functional,1
analysis,crystal violet,1
analysis,Congo red,1
analysis,CR,1
analysis,scanning electron microscopy,2
analysis,water,1
analysis,Biopolymers,1
analysis,Alkynes,1
analysis,copper,1
analysis,apatites,1
analysis,samples,1
analysis,Bovin Serum Albumin,1
analysis,Molecule,3
analysis,benzoic acid,1
analysis,para-hydroxybenzoic acid,1
analysis,"3,4-dihydroxybenzoic acid",1
analysis,Dielectric Spectroscopy,1
analysis,iron,1
analysis,"Spectrum Analysis, Raman",1
analysis,alpha-chitin,1
analysis,Chemical method,1
analysis,soil,1
analysis,charge transfer,1
analysis,Tetraphenyl,1
analysis,imidazole,1
analysis,MEP,1
analysis,DMF,1
analysis,air,1
analysis,Analysis,1
analysis,calcium amount,1
analysis,cupric cation,1
analysis,chitosan,1
analysis,EPR spectroscopy,1
analysis,Cu(I),1
analysis,triazoles,1
studies,Solutions,1
studies,analysis,1
studies,transcription factors,1
studies,X-Ray Diffraction,1
studies,Phytochemicals,1
studies,Flavonoids,1
studies,assay,1
studies,copper,1
studies,Molecule,1
studies,MEP,1
studies,LC-MS/MS,1
studies,Phlorizin,1
studies,phenolic,1
studies,phlorizin,1
studies,glutathione disulfide,1
studies,GSH,1
studies,MDA,1
studies,dexamethasone,1
studies,tropane alkaloid scopolamine,1
studies,beta-secretase,1
studies,cupric cation,1
studies,chitosan,1
studies,EPR spectroscopy,1
studies,Cu(I),1
studies,triazoles,1
studies,atoms,1
studies,labile,1
transcription factors,studies,1
"Nitrogen Compounds, Inorganic",compounds,2
"Nitrogen Compounds, Inorganic",B-RAF inhibitor,1
"Nitrogen Compounds, Inorganic",PLX4032,1
"Nitrogen Compounds, Inorganic",frameworks,1
B-RAF inhibitor,compounds,1
B-RAF inhibitor,"Nitrogen Compounds, Inorganic",1
B-RAF inhibitor,PLX4032,1
B-RAF inhibitor,frameworks,1
PLX4032,compounds,1
PLX4032,"Nitrogen Compounds, Inorganic",1
PLX4032,B-RAF inhibitor,1
PLX4032,frameworks,1
frameworks,compounds,1
frameworks,"Nitrogen Compounds, Inorganic",1
frameworks,B-RAF inhibitor,1
frameworks,PLX4032,1
Laboratory Procedures,Materials,2
Laboratory Procedures,Metals,1
Laboratory Procedures,LASSO,1
Laboratory Procedures,CRM,1
Laboratory Procedures,natural material,1
Laboratory Procedures,Carbon,1
Laboratory Procedures,activated carbon,1
Laboratory Procedures,catechol,1
Laboratory Procedures,Electrons,1
Laboratory Procedures,samples,1
Laboratory Procedures,Chemical method,1
Laboratory Procedures,charge transfer,1
Laboratory Procedures,catechol oxidation,1
Laboratory Procedures,tap water,1
LASSO,Laboratory Procedures,1
LASSO,CRM,1
CRM,Laboratory Procedures,1
CRM,LASSO,1
X-Ray Diffraction,Materials,5
X-Ray Diffraction,compounds,3
X-Ray Diffraction,Spectrum Analysis,1
X-Ray Diffraction,polysaccharides,1
X-Ray Diffraction,alginate,2
X-Ray Diffraction,Solutions,2
X-Ray Diffraction,Freeze Drying,1
X-Ray Diffraction,"Spectroscopy, Fourier Transform Infrared",4
X-Ray Diffraction,analysis,2
X-Ray Diffraction,studies,1
X-Ray Diffraction,CIE,1
X-Ray Diffraction,Ni2+,1
X-Ray Diffraction,Mass Spectrometry,1
X-Ray Diffraction,manganese,1
X-Ray Diffraction,"Chemistry Techniques, Analytical",1
X-Ray Diffraction,scanning electron microscopy,5
X-Ray Diffraction,MIC,1
X-Ray Diffraction,MBC,1
X-Ray Diffraction,BDT,1
X-Ray Diffraction,succinic anhydride,1
X-Ray Diffraction,"1,4-butanediol",1
X-Ray Diffraction,water,4
X-Ray Diffraction,bismuth chloride,1
X-Ray Diffraction,water vapor,1
X-Ray Diffraction,Biopolymers,2
X-Ray Diffraction,crystallinity,1
X-Ray Diffraction,gelatin,1
X-Ray Diffraction,Alkynes,1
X-Ray Diffraction,X-Ray Photoelectron Spectroscopy,1
X-Ray Diffraction,K,1
X-Ray Diffraction,nickel,1
X-Ray Diffraction,metal oxide,2
X-Ray Diffraction,oxygen,1
X-Ray Diffraction,soft X-ray absorption spectroscopy,1
X-Ray Diffraction,Electrons,1
X-Ray Diffraction,samples,2
X-Ray Diffraction,Molecule,1
X-Ray Diffraction,Dielectric Spectroscopy,1
X-Ray Diffraction,iron,1
X-Ray Diffraction,"Spectrum Analysis, Raman",4
X-Ray Diffraction,alpha-chitin,1
X-Ray Diffraction,Crystallography,1
X-Ray Diffraction,neodymium,1
X-Ray Diffraction,TEM,1
X-Ray Diffraction,Lignin,1
X-Ray Diffraction,Oxides,2
X-Ray Diffraction,MEP,1
X-Ray Diffraction,titania,1
X-Ray Diffraction,carboxymethylcellulose,1
X-Ray Diffraction,Thermogravimetry,2
X-Ray Diffraction,transmission electron microscopy,1
X-Ray Diffraction,anatase,1
X-Ray Diffraction,rutile,1
X-Ray Diffraction,Schiff Bases,1
X-Ray Diffraction,air,1
X-Ray Diffraction,Analysis,1
X-Ray Diffraction,calcium amount,1
X-Ray Diffraction,ZnO,1
X-Ray Diffraction,infrared spectroscopy,1
X-Ray Diffraction,size exclusion chromatography,1
X-Ray Diffraction,aromatic compounds,1
X-Ray Diffraction,Fe3O4,1
X-Ray Diffraction,magnetite,2
X-Ray Diffraction,sonochemical procedure,1
X-Ray Diffraction,4-nitrophenol,1
X-Ray Diffraction,salicylic acid,1
X-Ray Diffraction,naproxen,1
X-Ray Diffraction,ketoprofen,1
X-Ray Diffraction,Fourier transform infrared spectrometry,1
X-Ray Diffraction,chloroquine,1
X-Ray Diffraction,DMSO,1
X-Ray Diffraction,antiviral brincidofovir,1
X-Ray Diffraction,imidazole ring,1
X-Ray Diffraction,atoms,1
X-Ray Diffraction,labile,1
X-Ray Diffraction,M,1
X-Ray Diffraction,ferric ion,1
X-Ray Diffraction,Scanning electron microscopy,1
X-Ray Diffraction,cells,1
CIE,X-Ray Diffraction,1
CIE,Ni2+,1
Ni2+,X-Ray Diffraction,1
Ni2+,CIE,1
Phytochemicals,compounds,2
Phytochemicals,studies,1
Phytochemicals,phenolic acids,2
Phytochemicals,Flavonoids,3
Phytochemicals,glycoside derivatives,1
Phytochemicals,Esculetin,1
Phytochemicals,quercetin 3-O-beta-D-glucuronide,1
Phytochemicals,Mass Spectrometry,1
Phytochemicals,kaempferol-3-O-glucuronide,1
Phytochemicals,esculetin,1
Phytochemicals,Enzymes,1
Phytochemicals,assay,2
Phytochemicals,collagenase,1
Phytochemicals,elastase,1
Phytochemicals,hyaluronidase,1
Phytochemicals,butanol extract,1
Phytochemicals,gelatin,1
Phytochemicals,insulin,1
Phytochemicals,amino acids,1
Phytochemicals,fatty acids,1
Phytochemicals,carbohydrates,1
Phytochemicals,LC-MS/MS,1
Phytochemicals,Phlorizin,1
Phytochemicals,phenolic,1
Phytochemicals,phlorizin,1
Phytochemicals,glutathione disulfide,1
Phytochemicals,GSH,1
Phytochemicals,MDA,1
Phytochemicals,dexamethasone,1
Phytochemicals,tropane alkaloid scopolamine,1
Phytochemicals,beta-secretase,1
phenolic acids,compounds,2
phenolic acids,Phytochemicals,2
phenolic acids,Flavonoids,2
phenolic acids,glycoside derivatives,1
phenolic acids,Esculetin,1
phenolic acids,quercetin 3-O-beta-D-glucuronide,1
phenolic acids,Mass Spectrometry,1
phenolic acids,kaempferol-3-O-glucuronide,1
phenolic acids,esculetin,1
phenolic acids,Enzymes,1
phenolic acids,assay,1
phenolic acids,collagenase,1
phenolic acids,elastase,1
phenolic acids,hyaluronidase,1
phenolic acids,butanol extract,1
phenolic acids,gelatin,1
phenolic acids,insulin,1
phenolic acids,amino acids,1
phenolic acids,fatty acids,1
phenolic acids,carbohydrates,1
Flavonoids,compounds,2
Flavonoids,studies,1
Flavonoids,Phytochemicals,3
Flavonoids,phenolic acids,2
Flavonoids,glycoside derivatives,1
Flavonoids,Esculetin,1
Flavonoids,quercetin 3-O-beta-D-glucuronide,1
Flavonoids,Mass Spectrometry,1
Flavonoids,kaempferol-3-O-glucuronide,1
Flavonoids,esculetin,1
Flavonoids,Enzymes,1
Flavonoids,assay,2
Flavonoids,collagenase,1
Flavonoids,elastase,1
Flavonoids,hyaluronidase,1
Flavonoids,butanol extract,1
Flavonoids,gelatin,1
Flavonoids,insulin,1
Flavonoids,amino acids,1
Flavonoids,fatty acids,1
Flavonoids,carbohydrates,1
Flavonoids,LC-MS/MS,1
Flavonoids,Phlorizin,1
